English,Jinghpaw,Evaluation,Fine-grained evaluation,Error severity,Corrected Jinghpaw translation
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",But shani hta Stanford dakkasu tsi dap kaw na hpungtang hpaji ninghkring ni gaw U.S grumhpraw pyek mi nga ai hte mai mari na laika tsi hte mai shaprawt ai cells ni hpe mai garan chye ai hkamja lam jep ai jak hpe lu galaw shapraw la ma ai.,"Other, Typo","Wrong spelling, Inaccurately omitted information",Minor error,"Bat langai ya shani hta, Standford dakkasu tsi dap kaw na, hpungtang hpaji ninghkring ni gaw, U.S. gumhpraw pyek mi ram hte mai mari na, laika tsi hte mai shapraw ai, cells ni hpe garan chye ai, hkam kaja lam jep ai jak hpe lu galaw da sai lam hpe ndau shabra dat ai."
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Ndai arai hkyep gaw sinda mawng ana hpe sut su ai mungdan ni daram n lu tsi la lu ai matsan ai mungdan hkan na machyi masha ni byin chye ai mawng ana, sinwawp ana, HIV hte hkali ana ni hpe jau jau tam mu mai wa na re ngu sawk sagawn magam galaw ai ni tsun ma ai.",Correct,Correct,,
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","JAS 39C Gripen mying ai pyenli gaw, buga gindai ten 0230 UTC hta hpaga pyenli daru hte grai ni ai shara pyenli gat lam kaw hkrat nna kapaw ga mat ai.",Other,Mistranslation,Major error,"JAS 39C Gripen mying ai pyenli gaw, buga gindai aten 0230 UTC hta, hpaga pyenli daru hte grai ni ai shara pyenli gat lam kaw hkrat nna kapaw ga mat ai."
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Dai nbungli gau ai wa hpe Squadron a ning baw Dilokrit Pattavee ngu maram chye lu ai.,Other,Wrong grammar,Minor error,Dai nbungli gau ai wa gaw Squadron a ningbaw Dilokrit Pattavee ngu chye lu ai.
Local media reports an airport fire vehicle rolled over while responding.,"Buga shiga dap kaw na shapoi ai lam gaw, mahtai ginhtang taw nga ai shaloi nbungli daru wan sat madaw langai myi gaw lai wa sai re.",Other,Mistranslation,Critical error,"(Hkyak hkyak) garum sa taw ai nbungli daru wan sat mawdaw langai mi, gup mat ai lam hpe buga shiga dap kaw na, shiga htawn ai."
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",Asak 28 ning kaba ai Vidal gaw lai wa sai shata masum hta Sevilla kaw na Barca de shang lai wa sai re.,Other,Mistranslation,Minor error,"Asak 28 ning re said Vidal gaw, lai wa sai duhkra ladaw masum hta, Sevilla kaw na Barca de shang lai wa sai re."
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",Catalan mare ninghpum de htawt sit wa ai kaw na Vidal gaw ginsup hpung a matu ginsup poi 49 hpe ginsup lai wa sai re.,Other,Mistranslation,Minor error,"Catalan mare daju de htawt sit wa ai shaloi gaw na, Vidal gaw ginsup hpung a matu, ginsup poi 49 hpe ginsup lai wa sai re."
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Ninghkap hpung gaw buga aten 11:00 (UTC+1) hta Whitehall lam maw ntsa Hkingmang Daju a tara shang nga shara, Downing Lam de shang na matu makawp pyada uhpung hpe man hkrum na rawt sa hpang ma ai.",Other,Mistranslation,Critical error,"Ninghkap hpung gaw buga aten 11:00 (UTC+1) hta, Hkringman Daju a tara shang nga shara nga ai Downing Lam hte man hkrum gaw na Whitehall lam maw ntsa kaw na rawt sa hpang ma ai. Dai Downing Lam de shang wa ai shara hpe pyada uhpung ni pat sin nga ai re."
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","11:00 hpang kaw na, Whitehall dingdung shara kaw na pat ai shara hpe myit nhkrum ai ninghkap masha ni gaw lam hpe pat da ma ai.",Unnatural,"Unnatural translation, Inaccurately omitted information, Wrong grammar",Major error,"aten 11:00 hpang kaw na, ninghkap masha ni gaw, Whitehall dingdung shara maga na, hkawm sa hkawm wa lam hpe pat da mat ai."
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","Aten 11:20 hta dai masha ni hpe lam makau de sit na matu tsun wa ai, dai lam pat ai nta ni hpe atsawm lajang na matu ngu shana wa ai.",Other,"Inaccurately omitted information, Mistranslation",Critical error,"aten 11:20 hta, pyada ni hku na, dai ninghkap masha ni hpe lam makau de sit na matu tsun mat let, ninghkap na matu ahkaw ahkang nga ai hte maren (ninghkap let), hkawm sa hkawm wa lam pat wa ai lam hpe mung, joi jang ra na matu shana wa ai."
