English,South Azerbaijani,Evaluation,Fine-grained evaluation,Error severity,Corrected South Azerbaijani translation
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",دوشنبه گونو، استنفورد دانیشگاهینین پزشکی مدرسهسینین دانشمندلری تازا تشخیص ابزارینین یارانماسینی کی سلوللاری نوع اساسیندا دستهبندی الیبیلر اعلام الدیلر: بو ابزار بیر کیچیک پرینت اولابیلن چیپدیر کی استاندارد اینکجت پرینترلر ایله احتمالاً هر بیریسی بیر آمریکا سنتی هزینه ایله دوزلبیلر.,"Typo, Correct","Mistranslation, Wrong spelling",Major error,دوشنبه گونو، استنفورد دانیشگاهینین پزشکی دانشکده‌سینین دانشمندلری تازا تشخیص ابزارینین یارانماسینی کی سلوللاری نوع اساسیندا دسته‌بندی الیبیلر اعلام ائله‌دیلر:  بیر کیچیک پرینت اولا بیلن چیپ‌دیر کی استاندارد جوهرافشان پرینترلر ایله حدوداً هر بیریسی بیر آمریکا سنتی هزینه ایله دوزله بیلر.
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",اصلی محققلر دییرلر کی بو ابزار الیهبیلر سرطان، سل، اچآیوی و مالاریانین تئز تشخیصینه باعث اولوسن، مخصوصاً آز درآمدلی اولکهلردکی نوخوشلار اوچون، نیه کی بو اولکهلرده سینه سرطانی کیمی نوخوشلوخلارین دیری قالماق نرخی پوللو اولکهلره گوره یاریدیر.,"Typo, Correct","Wrong punctuation, Wrong spelling",Minor error,اصلی محققلر دییرلر کی بو ابزار ائلیه بیلر سرطان، سل، اچ‌آی‌وی و مالاریانین تئز تشخیصینه باعث اولسون، مخصوصاً آز درآمدلی اولکه‌لرده‌کی نوخوشلار اوچون، نیه کی بو اولکه‌لرده سینه سرطانی کیمی نوخوشلوخلارین دیری قالماق نرخی پوللو اولکه‌لره گوره یاریدیر.
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",«جیایلس ۳۹سی گریپن» هواپیماسی سحر ساعات ۹:۳۰ محلی وقتینه (۰۲۳۰ یوتیسی وقتی) هواپیمالار باندینا سقوط الییب پاتلاییب فرودگاهی تجاری اوچوشلار اوچون باغلادی.,"Correct, Typo",Wrong spelling,Minor error,«جی‌آی‌اس ۳۹سی گریپن» هواپیماسی سحر ساعات ۹:۳۰ محلی وقتینه (۰۲۳۰ یوتی‌سی وقتی) هواپیمالار باندینا دئییب، پاتلاییب فرودگاهی تجاری اوچوشلار اوچون باغلادی.
The pilot was identified as Squadron Leader Dilokrit Pattavee.,خلبانین کیملیی اسکادران فرماندهی دیلوکریت پاتاوی بیلیندیردی.,"Correct, Typo",Wrong spelling,Minor error,خلبانین کیملیگی اسکادران فرماندهی دیلوکریت پاتاوی بیلیندیردی.
Local media reports an airport fire vehicle rolled over while responding.,محلی رسانهلر گزارش الییبلر کی فرودگاهین یانقین سوندورمه ماشینی عملیات حالیندا آشمیشدیر.,"Correct, Typo",Wrong spelling,Minor error,محلی رسانه‌لر گزارش الییبلر کی فرودگاهین یانقین سوندورمه ماشینی عملیات حالیندا آشمیشدیر.
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",۲۸ یاشلی ویدال اوچ فصل قاباق، سئوییا-دان بارسئلونایا قوشولموشدور.,"Correct, Typo","Wrong punctuation, Wrong spelling",Minor error,۲۸ یاشلی ویدال اوچ فصل قاباق، سئوییادان بارسلونایا قوشولموشدور.
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",کاتالان پایتختینه قوشولاندان، ویدال بو باشگاه اوچون ۴۹ اویون اوینامیشدیر.,Correct,Correct,,
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",اعتیراض حدوداً ساعات ۱۱:۰۰ محلی وقتینده (+۱یوتیسی وقتی) باش ناظیرین رسمی اقامتگاهی، پولیس طرفیندن محافیظت اولونان داونینگ استریت-ه اوز به اوز وایتهالدا باشلادی.,"Typo, Correct","Wrong punctuation, Wrong spelling",Minor error,اعتیراض حدوداً ساعات ۱۱:۰۰ محلی وقتینده (+۱یوتی‌سی وقتی) نخست‌وزیرین رسمی اقامتگاهی، پلیس طرفیندن محافیظت اولونان داونینگ استریته اوز به اوز وایتهالدا باشلادی.
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",ساعات ۱۱:۰۰-دن بیراز سونرا، موعتریضلر وایتهالین شومال طرفینه گئدن یولونو باغلادیلار.,Correct,Correct,,
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",ساعات ۱۱:۲۰-ده، پولیس موعتریضلردن پیاده یولونا قئیتمسینلرینی ایستییب قئید الییب کی اعتیراض حقی ایله ترافیک یارانماماسینین آراسیندا موازینه یاراتمالیدیرلار.,"Correct, Typo",Wrong spelling,Minor error,ساعات ۱۱:۲۰-ده، پلیس موعتریضلردن پیاده یولونا قئیتمسینلرینی ایستییب قئید الییب کی اعتیراض حقی ایله ترافیک یارانماماسینین آراسیندا موازینه یاراتمالی‌دیرلار.
